Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__4,acquisition-HCP_datatype-anat_suffix-T1w,4,1,224.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.769,0.769
,,,acquisition-HCPVARIANTDim1SizeDim3Size_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__5,acquisition-HCP_datatype-anat_suffix-T1w,5,1,320.0,320.0,224.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTDim1SizeDim2SizeDim3SizeVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__6,acquisition-HCP_datatype-anat_suffix-T1w,6,1,144.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,4.0,1.0,,2.5,,False,0.8,1.0,1.0
,,,acquisition-HCPVARIANTDim1Size_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__7,acquisition-HCP_datatype-anat_suffix-T1w,7,1,192.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTDim1Size_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__8,acquisition-HCP_datatype-anat_suffix-T1w,8,1,131.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTDim1Size_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__9,acquisition-HCP_datatype-anat_suffix-T1w,9,1,24.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTDim1Size_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__10,acquisition-HCP_datatype-anat_suffix-T1w,10,1,21.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTDim1Size_datatype-anat_suffix-T1w,acquisition-HCP_datatype-anat_suffix-T1w__11,acquisition-HCP_datatype-anat_suffix-T1w,11,1,20.0,320.0,320.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,1,127,176.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavNormVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_run-1_suffix-T1w,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,2,2,nan,nan,nan,,,,False,,0,1.0,nan,,,,nan,,False,nan,nan,nan
,,,,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,1,127,176.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavNormVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_run-2_suffix-T1w,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,2,1,nan,nan,nan,,,,False,,0,1.0,nan,,,,nan,,False,nan,nan,nan
,,,,acquisition-VNavNorm_datatype-anat_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_suffix-T1w,1,1124,176.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavNormVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w,acquisition-VNavNorm_datatype-anat_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_suffix-T1w,2,4,nan,nan,nan,,,,False,,0,1.0,nan,,,,nan,,False,nan,nan,nan
,,,acquisition-VNavNormVARIANTDim1Size_datatype-anat_suffix-T1w,acquisition-VNavNorm_datatype-anat_suffix-T1w__3,acquisition-VNavNorm_datatype-anat_suffix-T1w,3,1,114.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavNormVARIANTDim1SizeVoxelSizeDim1_datatype-anat_suffix-T1w,acquisition-VNavNorm_datatype-anat_suffix-T1w__4,acquisition-VNavNorm_datatype-anat_suffix-T1w,4,1,32.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,5.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_run-1_suffix-T1w__1,acquisition-VNav_datatype-anat_run-1_suffix-T1w,1,255,176.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_run-1_suffix-T1w,acquisition-VNav_datatype-anat_run-1_suffix-T1w__2,acquisition-VNav_datatype-anat_run-1_suffix-T1w,2,2,nan,nan,nan,,,,False,,0,1.0,nan,,,,nan,,False,nan,nan,nan
,,,,acquisition-VNav_datatype-anat_run-2_suffix-T1w__1,acquisition-VNav_datatype-anat_run-2_suffix-T1w,1,255,176.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_run-2_suffix-T1w,acquisition-VNav_datatype-anat_run-2_suffix-T1w__2,acquisition-VNav_datatype-anat_run-2_suffix-T1w,2,1,nan,nan,nan,,,,False,,0,1.0,nan,,,,nan,,False,nan,nan,nan
,,,,acquisition-VNav_datatype-anat_suffix-T1w__1,acquisition-VNav_datatype-anat_suffix-T1w,1,2245,176.0,256.0,256.0,0.003,,8.0,False,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w,acquisition-VNav_datatype-anat_suffix-T1w__2,acquisition-VNav_datatype-anat_suffix-T1w,2,4,nan,nan,nan,,,,False,,0,1.0,nan,,,,nan,,False,nan,nan,nan
