Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-VNav_datatype-anat_suffix-T1w__1,acquisition-VNav_datatype-anat_suffix-T1w,1,2073,176.0,256.0,256.0,8.1e-06,0.00288,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T1w__2,acquisition-VNav_datatype-anat_suffix-T1w,2,172,176.0,256.0,256.0,8.2e-06,0.0029,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T1w__3,acquisition-VNav_datatype-anat_suffix-T1w,3,4,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-VNav_datatype-anat_suffix-T1w__4,acquisition-VNav_datatype-anat_suffix-T1w,4,2,32.0,256.0,256.0,8.1e-06,0.00288,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,5.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T1w__5,acquisition-VNav_datatype-anat_suffix-T1w,5,1,114.0,256.0,256.0,8.2e-06,0.0029,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T1w__6,acquisition-VNav_datatype-anat_suffix-T1w,6,1,112.0,256.0,256.0,8.1e-06,0.00288,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T2w__1,acquisition-VNav_datatype-anat_suffix-T2w,1,892,176.0,256.0,256.0,8.1e-06,0.565,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T2w__2,acquisition-VNav_datatype-anat_suffix-T2w,2,2,32.0,256.0,256.0,8.1e-06,0.566,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,5.0,1.0,1.0
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__1,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,1,928,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__2,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,2,871,104.0,104.0,72.0,3.5e-06,0.1002,0.000414993,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__3,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,3,279,96.0,96.0,72.0,3.2e-06,0.0762,0.00071998,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,,0.75,j-,3.11,0.0683981,2.0,2.0,2.0
