Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-dwi_run-2_suffix-dwi__14,datatype-dwi_run-2_suffix-dwi,14,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.0,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__15,datatype-dwi_run-2_suffix-dwi,15,1,128,128,70,1.8e-06,0.082,0.000266666,,90,,,,,,,70,12.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__16,datatype-dwi_run-2_suffix-dwi,16,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,True,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__17,datatype-dwi_run-2_suffix-dwi,17,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__18,datatype-dwi_run-2_suffix-dwi,18,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.3,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__19,datatype-dwi_run-2_suffix-dwi,19,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.2,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__20,datatype-dwi_run-2_suffix-dwi,20,1,128,128,70,1.8e-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.3,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__21,datatype-dwi_run-2_suffix-dwi,21,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,32.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__22,datatype-dwi_run-2_suffix-dwi,22,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,8.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__23,datatype-dwi_run-2_suffix-dwi,23,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.6,0.0338665,1.875,1.875,2.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,1249,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__2,datatype-fmap_fmap-magnitude1_suffix-magnitude1,2,70,64,64,44,,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__3,datatype-fmap_fmap-magnitude1_suffix-magnitude1,3,45,64,64,44,,0.00269,,,60,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__4,datatype-fmap_fmap-magnitude1_suffix-magnitude1,4,24,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
