Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,acquisition-fMRIVARIANTPhaseEncodingDirectionUnused_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi__7,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteRU_suffix-epi,7,1,84,84,60,0.051,0.0006,90,False,1181,fmap,,60,1.0,True,,1.0,j-,5.301,0.05,False,2.4,2.4,2.4
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi__1,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,1,792,84,84,60,0.051,0.0005,90,False,959,fmap,,60,1.0,True,,1.0,j-,5.301,0.04,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTObliquity_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi__2,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,2,101,84,84,60,0.051,0.0005,90,False,959,fmap,,60,1.0,False,,1.0,j-,5.301,0.04,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTUnused_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi__3,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,3,32,84,84,60,0.051,0.0005,90,False,959,fmap,,60,1.0,True,,1.0,j-,5.301,0.04,False,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTEchoTimeRepetitionTimeTotalReadoutTimeDim1SizeDim2Size_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi__4,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,4,25,90,90,60,0.08,0.0005,90,False,959,fmap,,0,1.0,True,,1.0,j-,7.03,0.05,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTObliquityUnused_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi__5,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,5,6,84,84,60,0.051,0.0005,90,False,959,fmap,,60,1.0,False,,1.0,j-,5.301,0.04,False,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTEchoTimeRepetitionTimeTotalReadoutTimeDim1SizeDim2SizeUnused_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi__6,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,6,2,90,90,60,0.08,0.0005,90,False,959,fmap,,0,1.0,True,,1.0,j-,7.03,0.05,False,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingPhaseEncodingDirectionRepetitionTimeTotalReadoutTime_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi__7,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_session-HBNsiteCBIC_suffix-epi,7,1,84,84,60,0.06,0.0007,90,False,959,fmap,,60,1.0,True,,1.0,i-,6.09,0.05,True,2.4,2.4,2.4
,,,,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteCBIC_suffix-epi__1,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteCBIC_suffix-epi,1,794,84,84,60,0.051,0.0005,90,False,959,fmap,,60,1.0,True,,1.0,j,5.301,0.04,True,2.4,2.4,2.4
,,,acquisition-fMRIVARIANTObliquity_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteCBIC_suffix-epi,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteCBIC_suffix-epi__2,acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_session-HBNsiteCBIC_suffix-epi,2,100,84,84,60,0.051,0.0005,90,False,959,fmap,,60,1.0,False,,1.0,j,5.301,0.04,True,2.4,2.4,2.4
